"","CAKI.1","MALME.3M","SK.MEL.28","MOLT.4","SNB.19","RPMI.8226","IGROV1","HOP.62","SN12C","SNB.75","NCI.H322M","OVCAR.5","HS.578T","K.562","SK.OV.3","NCI.ADR.RES","SW.620","NCI.H522","HCT.15","OVCAR.3","A549.ATCC","DU.145","MCF7","OVCAR.4","TK.10","COLO.205","NCI.H460","EKVX","NCI.H226","UACC.62","LOX.IMVI","BT.549","HL.60.TB.","UO.31","OVCAR.8","HCC.2998","UACC.257","T.47D","U251","HCT.116"
"ME1",2.86791622680306,2.84801694384693,2.86791622680306,3.84800692523572,4.64386196054335,3.54844895537019,4.43962978590604,3.07040650273013,3.32194252176564,2.70046191327868,3.89725010805936,3.12103198356768,4.50462674787432,4.53605911873991,4.12102369228835,2.70046191327868,2.84801694384693,3.73336518790418,2.51098722949467,2.76555596231052,2.86791622680306,4.32913077386098,2.35052553494486,5.24793131000449,3.26304943382887,2.88754476648879,3.52357450117674,3.49826363468408,3.84800692523572,5.21335117039408,2.20166522376443,2.29281119168335,3.0000180335753,4.6893047523663,3.98186178424212,4.43296608640435,2.65537472835209,2.65537472835209,2.56073940672558,2.72248788332127
"ME3",4.37156583213639,4.20946116395945,2.40601958008019,4.12102369228835,3.95420561806679,4.15381344108459,3.35051139108383,3.77611451865547,4.34341492915243,3.20164954255226,4.00899774403819,3.85799094471423,3.12103198356768,3.53606533721282,4.98185721877315,4.61471573265438,4.07039791533632,4.05312002736737,1.48547835107307,4.45943817632712,2.88754476648879,3.48543970831846,3.30744309779583,3.37852549525474,4.6264449775561,3.91648619867787,4.17792576286466,4.1699330163925,3.73336518790418,2.10437021047208,4.43962978590604,4.99095939716672,4.2479351065554,4.3575590421377,3.84800692523572,3.74417186191114,3.40600596994221,4.56072106757611,2.67809444704654,4.07039791533632
"MDH1",11.0472603344339,10.9231046750927,9.96231779955888,10.4107694301637,10.828929906964,10.8333645859337,10.2446018066533,10.5761064756079,10.5125430538575,10.8988281651696,11.3445178994072,10.5025335897583,10.6406969279362,10.1028944236543,9.43879206045938,10.6859752660687,10.2077465888708,10.7349636781258,10.2654979619328,11.2187449086713,11.4422697181046,10.1354529124475,10.8850100149257,10.590025674331,10.7521298048963,10.935533486614,10.43285514625,10.7380078746968,10.3834884119977,10.4851249929735,10.8833306872641,10.9903877227178,10.2553828248334,10.0842770434253,10.109700218306,10.5472802520745,10.3634778494096,11.5820949733148,12.0420355514913,10.444290315144
"TMLHE",4.89239588346429,4.86295220572732,6.36457418313829,5.18190161746942,5.64674157793579,4.27053641746519,4.5668212413189,4.94953960192545,5.24031814598221,6.12101747379758,4.7004452669575,4.00899774403819,3.07040650273013,5.19377568518102,6.99661584456828,5.53294340434152,5.77083168832868,5.25927625386046,5.30378440056499,5.52669797502891,5.28910039217241,5.46597772851631,5.68088973298799,5.05311568192001,4.67243099958801,5.24412974986193,5.42626810980294,5.71699363716857,1.92603738371565,6.00674907613253,6.42458790575541,5.27798846558116,6.03122093656475,1.48547835107307,4.77083433062003,4.95420096423434,6.08958501161807,6.00899102343521,5.06178051702645,6.43962479964722
"ALKBH2",6.53449899004266,6.11478552905938,6.72519718083192,6.28355327515648,6.20359467173018,6.70459673084846,6.57591887337631,7.20554988860837,7.36719718385667,5.98413587367826,6.63952304654626,5.56985864558047,4.40599916482507,6.36106824389671,6.93546092647723,7.36106736634578,6.64241421704351,7.85362207948196,7.50462118683893,7.45532804235278,6.43296107706107,7.23457891774908,6.77873555804715,7.41700943096351,2.80737553183955,7.00674795428699,6.46923642199071,6.80606751536016,6.68930055849553,7.14159730012215,6.83920504809206,6.22110565927414,7.56300631598924,8.1487312875223,6.59395277742076,5.59991581681301,2.37853936712236,6.97956924327622,6.40429176774376,6.00674907613253
"PHYH",8.86480550369987,8.80219354012616,7.67736799692095,7.3478436792702,6.69209377068322,7.51096271022839,8.44418707690976,7.933101065232,7.09803313602222,8.19179999446275,5.30743216835694,8.14159678925308,9.44687672828787,7.8246412172428,7.10538579695604,6.69905323255809,7.28077169790847,8.00842918234039,6.87282999050282,7.85174966595923,8.28540268126443,6.55459038645878,6.58496400352771,7.18685805735872,7.33985089343684,8.13339963919739,8.06177673751737,7.48784083755266,9.6945321842042,7.29645832511589,7.86974866826487,7.71218373918953,7.03232238919271,6.14771575718152,6.44625788435541,7.92243633491359,7.79246561072181,7.02014768458673,7.74886438524453,8.41658685975286
"P4HA2",8.39874411940333,8.43295982472253,9.96924274835858,8.7090841572803,8.03946798662317,8.40684317972744,8.12049761683978,7.66106619260076,8.48220332973411,8.70632367866563,5.89239345469089,9.72366111504215,9.87051899955351,10.1461869188023,8.03946798662317,8.76884629049499,7.83668222442717,8.08161711587086,8.08108446144051,8.26350442617999,8.2336201560603,7.55151678665502,4.59096722761666,8.10747916972117,9.55746389306364,8.40130663271256,8.45203568550931,7.98128242496946,7.78920822756015,7.39917194849673,8.35270600820594,8.95681202200183,8.14567796462176,6.38370602025151,7.16792086881657,10.5211097418272,10.9105678582751,8.78659668858802,8.57742920570456,8.24222187154976
"P4HA1",4.45286555234736,4.61471573265438,4.62059227505395,2.53607777407821,2.29281119168335,3.66676795164355,1.26309451687486,3.74417186191114,1.26309451687486,3.64386773128889,2.35052553494486,3.93546917715383,3.07040650273013,3.67808317612362,0.765619608281233,2.70046191327868,3.77611451865547,1.07045802601959,3.64386773128889,3.48543970831846,2.74418262817152,2.60883289322004,1.96351111568117,0.926075347876042,2.48545258935167,1.13756909930691,4.23266843067966,1.00007213294874,3.67808317612362,0.378622595527227,3.68931034417503,3.45944473398714,1.20169658567743,3.15382154604461,3.82782918440578,2.86791622680306,3.26304943382887,3.66676795164355,3.45944473398714,2.32195694849964
"BBOX1",3.36458643897583,1.88756426197254,2.32195694849964,3.12103198356768,3.85799094471423,2.53607777407821,1.76557717794607,1.13756909930691,1.96351111568117,1.53610264748736,0.378622595527227,1.96351111568117,3.62059813963217,2.92601840126082,2.37853936712236,2.0704236773644,1.72250974184025,0.926075347876042,2.58498654543813,1.53610264748736,1.96351111568117,4.99095939716672,4.11270847200295,1.72250974184025,3.15382154604461,1.37856711045748,7.41785335856696,3.16994103129816,3.26304943382887,6.15987335453228,4.18587447218539,6.35755376400121,1.63231475329861,0.926075347876042,3.43297276550168,1.48547835107307,2.35052553494486,1.92603738371565,2.03565909698553,1.88756426197254
"PLOD1",7.55382202433187,6.66959516837333,9.24103001286932,7.98754882739139,6.99774515492855,7.71561954541863,6.76022227736538,7.42710412544141,8.66320263444901,7.41616500940211,6.25927437045026,8.471269170681,8.96434115662023,9.62186890781778,5.98413587367826,8.98868497076722,6.79051271514115,7.45779208090145,6.59991432950084,8.37155929820823,8.52904044664593,6.95186866966976,4.97269724856714,7.41362877517937,7.19869156776187,8.73369361879377,6.87897173588976,6.93428177327572,7.30195430938122,7.18685805735872,7.93604955277206,7.41532009330418,6.84046449276519,7.51175344428499,7.80090054686861,8.9744148766236,10.0415224039472,9.71870427689433,7.44211495203086,7.75020517936566
"PLOD2",9.26561528087843,9.07146263071553,8.48623208029413,9.39446290897806,7.68229307381384,10.2276160637391,8.53449782281445,5.14975118342865,8.73944343532389,8.36894335079177,1.76557717794607,10.9938583802343,9.07681586421655,9.10039979192103,4.13751172085756,1.76557717794607,3.08747981403333,-0.514367088258179,9.11061406648044,8.8313075605298,6.23266267526645,6.59842624937632,2.137536311901,9.55765534616583,10.5768623079482,7.23170215890562,6.73199914383505,7.38111115954273,2.86791622680306,7.64241349497447,7.50382653286883,8.0623165670844,8.67983228523085,7.55074755482039,2.40601958008019,10.0691813434459,10.5825184637031,8.11113619200497,7.93369124501143,7.77281006982909
"PLOD3",8.71218339519942,8.92659280653584,10.4326463928223,8.49825126650317,8.54148425125096,8.45079926666881,9.52610814241717,10.3256428690841,8.99661499725367,8.87282906727697,8.83035706435571,9.35027645011159,10.7656177022578,10.5511315489281,9.93590182955651,7.8984508374578,9.74214115395856,9.29576916396624,9.56033302529787,11.7986338420534,11.950956828905,9.34983431255992,7.27798567687101,7.82972336923759,9.21577589565313,9.37742767761509,7.98641150413799,9.34340804438755,9.0334232768609,8.62570920830367,10.4094971188283,8.62643950175168,8.87621026453544,9.19893633358291,10.0613713276804,10.5480513343721,10.0476693877004,10.9939998625302,11.1941413004378,7.63952232302873
"P3H1",7.37504030044006,6.93428177327572,8.70632367866563,7.75689052206246,6.77610530440016,6.83162520345324,8.45779167057881,6.63952304654626,7.15481912146932,6.70597928357366,7.61912024527553,8.71733404221798,8.00618636108778,9.2053047759605,6.39746243743572,8.05039340418766,7.49505632808789,6.74146833471364,7.51254374518155,8.22110420884468,7.20359369296928,6.95070285637394,7.18090470345543,7.12412234601881,7.70597859262826,8.34474018957255,6.93899261456564,7.4000263720849,8.09855904427726,6.17192935531607,6.64961689600995,6.79571630505654,6.56681667584031,7.47816370187652,7.42877972865309,8.31424379999858,9.9779955116665,7.99378812911944,6.93073852009932,7.65892622534427
"E2F1",6.65392130578509,4.16189574210321,5.41616754340608,7.43296024216883,7.33449766225324,4.36457943565284,6.42122498264894,6.30195522363576,4.76554005037911,6.22303826921924,4.96347874799004,4.52356822863051,5.12101954663081,4.96809536128722,4.56072106757611,6.08958501161807,6.34695866173043,6.77742103064289,5.88019817833837,6.84172283892655,7.08427797368146,5.80219580241449,7.30012463998436,6.3037825743722,5.46923805031193,6.49984748122049,7.03782256337598,6.49984748122049,6.75488883799159,6.83542010378057,7.00225357707809,5.83035928290916,4.38543794002409,3.44626946556317,5.95419863731248,5.67807472287364,5.60585282960475,6.91289053348676,6.40769434795212,3.9069002135434
"TP53",8.89299839652476,7.81762389700377,9.6574972790839,7.63299592394128,7.97899696790612,8.0563673029835,4.28540961727939,2.84801694384693,8.07735036375517,8.1482228489153,2.0704236773644,2.60883289322004,6.38715744131194,9.23721019980969,7.58044777335763,8.03617416215149,1.76557717794607,8.51451721095629,7.29094132366459,8.14465875261803,7.50620918286816,9.01708705182149,7.83731318634841,7.96231823340853,8.66142218909803,7.78398106826397,8.15684203008763,7.16591294359762,3.23267610452822,7.94661449020998,8.01010901309212,1.63231475329861,8.36894335079177,2.0704236773644,7.47167602717775,8.88447612435413,5.09592863839892,6.03562610895929,6.05745243839104,2.00003606692519
"TNFSF10",4.10434504755222,6.85424630114702,3.84800692523572,5.95652368651167,5.98185493603325,6.80993015154531,4.30013104787551,3.68931034417503,3.12103198356768,3.36458643897583,4.33629052990141,8.1794120208266,5.46271002208378,3.36458643897583,8.44169967176544,2.63229148458671,3.33629767190304,3.54844895537019,3.57290179185738,3.95420561806679,3.81763348935487,4.38543794002409,3.12103198356768,3.13751991791861,3.62059813963217,8.46107052342432,6.17991107993776,3.65536327852776,6.55151755568161,4.07895987802661,3.74417186191114,8.37937880031295,1.63231475329861,3.53606533721282,8.78070412200191,5.16591595757923,7.79246561072181,3.10435343524094,4.04440286293827,4.16189574210321
