"","X786.0","A498","A549.ATCC","ACHN","BT.549","CAKI.1","CCRF.CEM","COLO.205","DU.145","EKVX","HCC.2998","HCT.116","HCT.15","HL.60.TB.","HOP.62","HOP.92","HS.578T","HT29","IGROV1","K.562","KM12","LOX.IMVI","M14","MALME.3M","MCF7","MDA.MB.231.ATCC","MDA.MB.435","MOLT.4","NCI.H226","NCI.H23","NCI.H322M","NCI.H460","NCI.H522","NCI.ADR.RES","OVCAR.3","OVCAR.4","OVCAR.5","OVCAR.8","PC.3","RPMI.8226","RXF.393","SF.268","SF.295","SF.539","SK.MEL.28","SK.MEL.5"
"beta-nicotinamide adenine dinucleotide",0.0658020583957461,1.31179371775365,-5.41119543298445,0.129173093135177,-1.23559722312694,1.39597676536436,-7.96578428466209,0.0940108071330136,-3.31234204605816,-2.96203214980098,1.00432160595009,0.529071299829111,1.69361704973727,-7.96578428466209,-4.45271470242272,-1.09953567355091,-2.77595972578207,-1.28162010623383,-0.251538766995964,1.28510625106125,0.986228880227399,0.740999495450696,1.17929871749596,0.210388864445403,-0.0734944614452905,1.26122990898705,2.11481120446317,-1.57633219557772,-5.04295214518455,0.399079925375868,-1.20312541681511,-1.69587840212301,0.0989584800881688,-0.603109847431416,0.409979209455815,-1.60969917904266,0.294743265561132,-2.05689133614242,-0.431157164642121,-7.96578428466209,-0.576332195577716,-0.691988685447822,0.553851968181126,-3.49005085369569,1.13739422453091,0.532732541948599
"serine",-0.154142004201385,0.0310422433585716,1.65626753479429,1.2389906156839,-1.38583985870756,0.263835680523033,-3.22881869049588,0.666302128173095,0.533064921869638,-0.457329220995283,1.08156687720288,-0.0588936890535686,1.41989839688342,-3.11195493280498,0.751320887143276,-0.829647596676058,-0.234465253637023,0.577247535593151,-0.244685095954902,-1.3646325458416,-0.410556082191407,1.51601514700366,0.377771589874647,0.230612928141416,1.23980535242214,-1.19539568895843,-0.152537523916392,-1.49953784446848,1.4370501436593,-1.11091590140185,-0.477274631406783,0.495354059645558,-0.382701517159154,-0.785875194647153,0.809277234188633,-1.084160447664,-0.279283757478869,0.266236837872138,-1.34129341975429,-1.58496250072116,-0.454690546202297,0.113255977503258,2.36045792459393,1.20789285164133,0.682423476999462,-0.013528384844647
"tryptophan",0.0565835283663675,0.371558862611963,0.303342394487331,1.59136027191931,-4.21089678249862,0.318461465167583,-1.31234204605816,0.517695630642583,0.0795203396435263,-0.0183908600943956,0.761568961306863,-0.389614902398937,-0.370215978038761,-1.70839644196944,0.486800168578935,-1.38961490239894,-1.21871023702159,-0.817731463697281,-0.401634794676355,-0.181694778381855,-0.833070362316847,0.562018496502073,0.318461465167583,1.46849643122036,-0.572036326276886,0.394697050994668,0.0148313514010857,-0.98374141513621,-0.0795796516588516,0.220742684117355,-0.0325854296262875,0.240416103171775,0.185655145935047,-0.826232932263294,1.14491651140478,-1.64535978036511,-0.0286557164961793,-0.521459558414998,-1.17679413001305,-1.42275246440685,-0.0964474917633441,-0.0242475462466773,1.50910462538756,1.26363540356833,0.805017237163996,0.51870298204454
