"","CAKI.1","MALME.3M","SK.MEL.28","MOLT.4","SNB.19","RPMI.8226","IGROV1","HOP.62","SN12C","SNB.75","NCI.H322M","OVCAR.5","HS.578T","K.562","SK.OV.3","NCI.ADR.RES","SW.620","NCI.H522","HCT.15","OVCAR.3","A549.ATCC","DU.145","MCF7","OVCAR.4","TK.10","COLO.205","NCI.H460","EKVX","NCI.H226","UACC.62","LOX.IMVI","BT.549","HL.60.TB.","UO.31","OVCAR.8","HCC.2998","UACC.257","T.47D","U251","HCT.116"
"2'-deoxyuridine 5'-triphosphate",0,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-0.829647596676058,-2.17136841831198,-2.17136841831198,0.040307988653537,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-0.433103683994151,-2.17136841831198,-2.17136841831198,-2.17136841831198,-1.44483827681209,-2.17136841831198,-1.05489175849607,-2.17136841831198,-2.17136841831198,-2.17136841831198,-1.32192809488736,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198,-2.17136841831198
"citric acid",-0.762436281682324,-1.46593839757888,-0.77431375293851,-1.08314123530025,2.37035030272355,-0.128682019210431,-0.56846618082496,1.44696196307761,2.46719251611257,1.87394440612971,1.67596643923572,-0.504304837375931,-0.292769726819265,-1.09029088907361,0.882838655767251,-0.213682446698502,2.08723651839461,1.14274017211608,0.868950102922736,1.28234095303877,0.018634174139051,0.599952503361297,1.60644222813161,-1.33764256574134,-0.819427754358179,0.180147861158429,0.200378797984026,0.0676387168753633,-0.672695872654707,1.71530768291513,-0.901490607865929,-0.631883548108649,-0.149867349101059,-0.433753107836263,-0.020828257262919,0.715161223847858,-0.839940351683892,2.18216257654792,0.341796031265309,-0.200360043070401
"malic acid",0.38294386956899,0.018634174139051,-1.52976684647903,1.59757090092606,2.73089351468281,-0.46527432620196,-0.768567591552035,0.903809558578697,1.8030892366315,0.927011481060645,-0.0714717551330381,0.0985093921340712,-2.16272950003811,-2.12029423371771,-1.47526763589523,0.217851096811131,2.4070807754505,1.6556571285906,-0.85464861442738,2.61463132796286,1.88739529236041,1.56055192887502,-0.372704456518421,-1.42662547355406,-1.50635266602479,2.41404530533247,-2.75308525952948,-2.54231816331266,-2.36339471218275,0.581752944245266,-1.34251242704345,-1.00192487692449,0.00623817221121988,-1.1595031959558,-2.54793176977619,0.528404620038648,-0.77431375293851,2.92653716516002,2.04264433740849,-0.367111403910025
"succinate",-1.0350469470992,0.0662614422687213,-2.08110496814373,1.27600029713696,2.34851571723545,-3,-1.5200796491363,2.18290413145547,0.389933863040851,1.02005765234125,-2.19319478076516,-0.505669733448303,-2.45798964446339,-0.87390817890909,-0.556393348524385,0.0607391578576785,0.0360930025785834,1.73436640311825,-0.133949257777183,2.78826808286684,0.776525151421912,-0.199807603836812,0.781849272405971,-0.324334592594458,-2.355989930961,2.4240262825061,-1.04990490582631,-0.936036941268035,0.408892978980943,0.250557400665779,-0.602379553798566,-0.565616411916344,-0.893428335801956,-1.39846194307666,-0.0291463456595165,-0.110915901401851,-1.53115605702536,2.87046336202581,1.09536185612286,-1.21647350007605
"cysteine",0.12366619645382,-0.198151554248939,-3.83650126771712,1.72683121703249,-3.83650126771712,-3.83650126771712,-0.138176938578034,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.42146376843828,-3.83650126771712,-2.96203214980098,-0.56846618082496,-3.83650126771712,-3.83650126771712,-2.64686493964706,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-0.477944250839036,-3.83650126771712,-3.83650126771712,-3.83650126771712,0.55581615506164,-3.83650126771712,-3.83650126771712,-0.655171503002559,-3.83650126771712,-0.729770092762002,-3.83650126771712,-3.83650126771712,-3.83650126771712
